id,prompt,completion,coherence,repetition,entity_consistency,ending_completeness,grammar,average
26,"Once upon a time, there was a naughty bee named Buzzy. Buzzy","Once upon a time, there was a naughty bee named Buzzy. Buzzy loved to swim around in the sun and run around in the sun.

One day, Buzzy saw a big tree in the sky. He picked it up and wanted to climb it. But when he got there, he saw a big tree. He thought it was so big and very pretty.

Benny's mom and dad said, ""Don't worry, Andy. You can't open it"". Pete was very excited and he quickly reached out his hand to",5,4,2,2,4,3.4
27,"One day, a sheep named Bob was very happy. He had lots","One day, a sheep named Bob was very happy. He had lots of questions and wanted to remember the wise animal who lived in a big house with many people.

One day, Bob was feeling very scared. He went to his friend, the farmer, who was in his garden.

""What's wrong, Bob?"" asked Bob.

""I don't know, Tim. I'm lost,"" Bob said.

""Let's go see if we can go to the farm,"" he said.

Bob looked",5,5,3,3,4,4
28,"One day, a small cat named Tim was walking in the park.","One day, a small cat named Tim was walking in the park. He saw a big tree and wanted to climb it. He tried to climb it and the tree started. But he couldn't reach it.

Suddenly, he saw a little boy named Tim. Tim was very brave. He wanted to help Tim. Tim ran to the tree and started to climb. He reached out and touched the tree. But, it got dark and Tim couldn't get up.

Tim started to feel sad. He thought about what to do.",5,4,4,5,4,4.4
29,"Once upon a time, there was a little girl named Lily. She","Once upon a time, there was a little girl named Lily. She loved to play with her toys and make things with flowers. One day, Lily's mommy took her to a restaurant to get some cookies. Lily was very excited and ran to the store to buy some food.

When they got home, Lily's mommy gave her a tasty snack to eat. ""Look at this apples,"" Lily asked. ""Can I eat them?""

Her mommy smiled and said, ""Of course, we can have some more cookies",5,5,2,3,3,3.6
30,"One day, a little boy named Tim found a big, red truck.","One day, a little boy named Tim found a big, red truck. It had red, red blocks, and blue in the blue box. Tim liked to play with his red cars.

One day, Tim saw a small box. He wanted to put the red car away. Tim said, ""I want to try it."" Tim took the car and started to cut it with his blue car. Tim was not happy. He said, ""I can't cut the red car.""

Tim was sad. He said, ""I want",5,4,4,3,3,3.8
31,"Once upon a time, there was a hairy dog named Spot. Spot","Once upon a time, there was a hairy dog named Spot. Spot loved to play with his ball, but it was too dark. One day, Spot saw a big, red ball. He wanted to play with it, but he had an idea. He took the ball and went to the park to play with his ball. Spot was so happy to be safe and he wanted to play with it. He played with his ball and played with it. Spot had a long time, and he was happy. He played with his ball and had lots",5,2,4,3,4,3.6
32,"Once upon a time, there was a little girl named Mia. She","Once upon a time, there was a little girl named Mia. She was 3 years old and loved to explore. She went on many adventures and found lots of new things to play with.

One day, Mia decided to go on an adventure. She put on her shoes and set off on her journey. She found a beautiful stream and sat down to it. She was so excited to see it.

She ran to the stream and started running around it. Suddenly, she felt like she was flying! She was so excited!
",5,4,3,5,4,4.2
33,"Once upon a time, there was a sweet dog named Max. Max","Once upon a time, there was a sweet dog named Max. Max had a red ball that he loved to play with. One day, Max found a broken ball and went to play with it.

Max wanted to help the dog, so he said, ""I'll get the ball!"" Max barked and ran to get the ball, but he fell and hurt his paw. Max was hurt and he wanted to help the dog.

Lily said, ""Max, I'm sorry. I did not mean to be bad.""",5,3,4,5,4,4.2
34,"One sunny day, a little girl named Lily felt excited. She wanted","One sunny day, a little girl named Lily felt excited. She wanted to help her mommy, so she went to the kitchen. She bought a big spoon and put it in the bowl. 

Lily was so excited to eat the cake. She asked her mommy for it to eat. Her mommy said, ""That's a delicious cake!"" 

Lily was so happy and said, ""I love cookies!"" Her mommy said, ""That's great! Now we are both good at eating!"" 
",5,3,3,5,4,4
35,"One day, a little boy named Tim went for a walk. It","One day, a little boy named Tim went for a walk. It was warm and cold, but it made a loud noise. Tim wanted to play with his toy car, so he went outside to play.

As Tim hopped, he saw a big, blue car in the sky. He was so excited. ""I can't find the car,"" he said. Tim ran to the car and opened it. Inside, he saw a big car. The car was broken. Tim was very happy and played with the car.

Tim",5,4,4,3,4,4
36,"Once upon a time, there was a big line of ants. They","Once upon a time, there was a big line of ants. They were very big and bright and had long hair. They loved to play and have fun.

One day, a little boy named Tim came to visit his house. Tim was very happy to see the lions. He said, ""Look, Tim, look at these people. I like to play with them.""

Tim and his friends decided to play together. They had so much fun playing together. They made funny noises and laughing. Tim and Sam had so much fun",5,4,3,3,4,3.8
37,"Once upon a time, there was a little train named Toot. Toot","Once upon a time, there was a little train named Toot. Tooted around, playing hide and seek with her friends. While playing, she came across a strange old box. It was a big, beautiful box with lots of toys and animals. 

Tina wanted to know what it was, so she opened it and found a big box full of colorful colorful pieces. She put it in her pocket and started to eat the fruit. 

After a while, Tilly found the berry and decided to give it a hug",5,5,2,3,4,3.8
38,"Once upon a time, there was a little girl named Mia. Mia","Once upon a time, there was a little girl named Mia. Mia loved to play with her toys and explore the world. One day, Mia found a small box in the garden. She picked it up and showed it to her mommy.

""Look Mommy, Mia, a picture!"" said Mia with a smile.

""Look what I found!"" Mia said, wearing a big smile.

""Look!"" Mia said, ""It's a small box!""

They opened it up and put it to their mom",5,4,2,3,4,3.6
39,"Once upon a time, there was a little bunny named Fluffy. Fluffy","Once upon a time, there was a little bunny named Fluffy. Fluffy was very troubled. He did not like to play with his friends, but he was also lonely. Fluffy did not like to eat well, so he went outside to play with his friends.

One day, Fluffy saw a big, round dog. The dog was angry and did not like to bite. Tim wanted to help the dog, so he gave Fluffy a hug and gave him a present. Tim was happy and gave Tim a big hug to play with",5,3,3,3,4,3.6
40,"Once upon a time, there was a little bug named Buzz. Buzz","Once upon a time, there was a little bug named Buzz. Buzz loved to play with his ball, but it was too heavy for him to catch. One day, Buzz decided to try and drink some water from his ground. He jumped and held until the sun was all gone and he was so happy! 

The sun was shining, and the sun was shining again, Sammy's ball was so happy! He ran around the house and even more beautiful than before. Sammy's mom watched him go for a long time. 

",5,4,3,5,4,4.2
41,"Once upon a time, there was a little boy named Timmy. Timmy","Once upon a time, there was a little boy named Timmy. Timmy loved to play outside and explore the world around him. One day, Timmy's dad gave him a special present for him. It was a big, shiny thing that he could trust his dad. 

""Wow, look at this special things!"" Timmy said with a smile. 

Timmy's dad took a big bite and it looked like a beautiful princess. 

""Wow, that's so cool!"" said Timmy. 

",5,5,4,5,4,4.6
42,"Once upon a time, there was a little girl named Lily who","Once upon a time, there was a little girl named Lily who loved to play outside. She would run around and jump and run. One day, she found a big bag of grass. It was cold and had a red eyes. She wanted to eat it, but she was too small to eat it.

Lily asked her mom if she could have the bag. Her mom said no, but Lily was very sad. She wanted to help her mommy. So, she asked her mommy if she could borrow a stamp.",5,4,3,5,4,4.2
43,"Once upon a time, there was a little girl named Lily. She","Once upon a time, there was a little girl named Lily. She loved to play with her toys and pretend to be a lawyer. One day, she went to the park with her mom and dad. They went to the gym and started to play. 

When they got there, Lily saw a big sign that said ""Cud"". She asked her mom if she could have a bandage with it. Her dad said, ""Yes, but be careful not to let us use it."" 

Lily was so excited to",5,5,2,2,4,3.6
44,"Once upon a time, there was a boy named Tim. Tim loved","Once upon a time, there was a boy named Tim. Tim loved to play with his toy blocks. He had a red block that he would wear. He would put the blocks back in the box and watch it go higher and faster.

One day, Tim's friend came over to play. Tim was very happy to see his blocks and he wanted to play with it too. But he knew that his car was broken and he couldn't make it stop. Tim's dad took the blocks and they all fell down.

Tim's",5,5,4,3,4,4.2
45,"Once upon a time, there was a family who loved to go","Once upon a time, there was a family who loved to go on adventures. They would go for walks and explore the world. One day, the family decided to go for a walk in the woods. They drove and hopped until they came to a big pond.

The family looked in the water and looked inside. The family were so excited to see the family of the pond. Everyone wanted to explore the world. But they didn't know where they went.

The family spent the time playing together and eating yummy food.",5,5,3,5,4,4.4
46,"Once upon a time, there was a little boy named Timmy. Timmy","Once upon a time, there was a little boy named Timmy. Timmy loved to play outside in the sun. One day, he found a big hole in the ground. It was an old chest with a new secret inside.

""Look at that is a picture!"" Timmy said, pointing to the chest. ""It's a lock that will be a treasure!""

As Timmy was holding the key, he saw a small box. ""Wow! What is this?"" he asked.

""It's a lock. It",5,4,3,3,3,3.6
47,"Once upon a time, there was a little girl named Lily. She","Once upon a time, there was a little girl named Lily. She loved to play with her toys and run around outside. One day, she found a big box in the park. She was so excited because she wanted to open it.

But then, a boy came up to the box. He said, ""Hi, my car is my car. It's blue. Can you open it?""

Lily said, ""Sure! I can open it and find it."" She opened the box and inside was a beautiful car.",5,5,2,5,4,4.2
48,"Once upon a time, there was a little squirrel named Sammy. Sammy","Once upon a time, there was a little squirrel named Sammy. Sammy loved to go on adventures and explore the world around him. One day, Sammy saw a big pile of grass and he wanted to climb it. But when he tried to reach the tree, he saw a broken branch. It was stuck in a tree! Sammy thought it was too rough and he didn't know what to do.

Suddenly, Bobby heard a voice. It said, ""Let's go and see what it is."" Sammy was excited and said, ""Yes",5,5,2,3,3,3.6
49,"Once upon a time, there was a little girl named Lily. She","Once upon a time, there was a little girl named Lily. She loved to play with her toys and have fun. One day, she went to the park with her mommy. They saw a big tree with flowers, and a tree. Lily picked some flowers and put them on a branch.

After they got to the tree, Lily saw a big tree with green leaves. She wanted to climb the tree, but she didn't know how. So, she asked her mommy if she could play with it. Her mommy said",5,4,2,3,4,3.6
